participant_id,occasion,span_wm,accuracy_wm,span_planning,accuracy_planning,span_wmplanning,accuracy_wmplanning,route_efficiency_pct_planning,route_efficiency_pct_wmplanning,wm_mean_total_time,wm_mean_planning_time,wm_mean_execution_time,planning_mean_total_time,planning_mean_planning_time,planning_mean_execution_time,wmplanning_mean_total_time,wmplanning_mean_planning_time,wmplanning_mean_execution_time
SPR19,POST,4,6,9,16,7,11,92.142857,92.857143,5.333333,0.0,5.333333,16.75,3.0,13.75,19.5,1.0,18.5
SPR20,PRE,3,3,9,16,3,4,86.190476,85.714286,4.0,0.0,4.0,32.0,3.0,29.0,44.5,1.0,43.5
SPR20,POST,4,6,9,16,3,4,97.5,75.0,9.333333,0.0,9.333333,24.0,3.0,21.0,33.5,1.0,32.5
SPR21,PRE,2,2,9,16,5,7,73.830614,90.833333,4.0,0.0,4.0,32.375,3.0,29.375,31.5,1.0,30.5
SPR21,POST,3,4,9,16,2,2,77.556818,66.666667,5.0,0.0,5.0,25.0,3.0,22.0,37.0,1.0,36.0
SPR22,PRE,4,5,9,16,2,2,92.142857,80.0,13.333333,0.0,13.333333,41.375,3.0,38.375,34.0,1.0,33.0
SPR22,POST,3,4,9,16,3,4,100.0,100.0,8.5,0.0,8.5,38.5,3.0,35.5,38.5,1.0,37.5
SPR23,PRE,3,4,9,16,3,4,74.239268,75.0,6.5,0.0,6.5,31.25,3.0,28.25,25.5,1.0,24.5
SPR23,POST,3,3,8,14,5,8,40.088045,75.357143,4.0,0.0,4.0,41.857143,3.0,38.857143,28.25,1.0,27.25
SPR25,PRE,5,7,9,16,4,5,93.653846,81.944444,8.5,0.0,8.5,23.5,3.0,20.5,42.666667,1.0,41.666667
SPR25,POST,4,6,9,16,4,5,86.199495,72.698413,6.0,0.0,6.0,24.125,3.0,21.125,30.333333,1.0,29.333333
PPR01,PRE,2,1,9,16,2,2,91.25,80.0,9.0,0.0,9.0,59.25,3.0,56.25,31.0,1.0,30.0
PPR01,POST,3,4,9,16,2,2,89.642857,66.666667,10.5,0.0,10.5,46.5,3.0,43.5,105.0,1.0,104.0
PPR02,PRE,2,1,9,16,6,8,76.824495,93.333333,5.0,0.0,5.0,43.0,3.0,40.0,34.8,1.0,33.8
PPR02,POST,2,1,9,16,5,6,85.897436,87.121212,3.0,0.0,3.0,29.5,3.0,26.5,25.5,1.0,24.5
PPR03,PRE,0,0,9,16,4,5,91.666667,74.166667,,,,48.375,3.0,45.375,47.666667,1.0,46.666667
PPR03,POST,6,8,9,16,2,1,94.375,100.0,9.8,0.0,9.8,52.125,3.0,49.125,18.0,1.0,17.0
PPR04,PRE,3,4,9,16,3,4,82.121212,81.666666,7.5,0.0,7.5,29.375,3.0,26.375,23.0,1.0,22.0
PPR04,POST,3,4,9,16,6,10,100.0,89.030303,4.0,0.0,4.0,13.5,3.0,10.5,23.2,1.0,22.2
PPR05,PRE,2,1,9,16,3,4,88.792735,90.0,6.0,0.0,6.0,28.875,3.0,25.875,33.5,1.0,32.5
PPR05,POST,3,3,9,16,3,4,94.722222,75.714286,6.0,0.0,6.0,14.0,3.0,11.0,20.5,1.0,19.5
PPR06,PRE,2,2,9,16,5,7,82.393925,100.0,4.0,0.0,4.0,45.625,3.0,42.625,29.0,1.0,28.0
PPR06,POST,2,2,9,15,6,9,90.972222,76.363636,5.0,0.0,5.0,28.875,3.0,25.875,40.8,1.0,39.8
PPR07,PRE,0,0,9,15,6,9,67.643294,94.285714,,,,64.0,3.0,61.0,42.6,1.0,41.6
PPR07,POST,0,0,9,15,0,0,93.560606,,,,,23.75,3.0,20.75,,,
PPR08,PRE,0,0,8,8,5,6,92.5,100.0,,,,23.714286,3.0,20.714286,23.25,1.0,22.25
PPR08,POST,2,2,9,16,4,6,100.0,100.0,4.0,0.0,4.0,27.75,3.0,24.75,23.0,1.0,22.0
PPR09,PRE,4,6,9,16,2,2,70.816545,80.0,11.0,0.0,11.0,44.5,3.0,41.5,25.0,1.0,24.0
PPR09,POST,3,4,9,15,4,5,97.5,87.777778,8.5,0.0,8.5,36.0,3.0,33.0,53.333333,1.0,52.333333
PPR10,PRE,0,0,9,16,3,4,96.875,71.25,,,,27.375,3.0,24.375,32.5,1.0,31.5
PPR10,POST,3,3,9,16,4,6,100.0,94.444444,5.5,0.0,5.5,20.25,3.0,17.25,26.333333,1.0,25.333333
PPR11,PRE,3,3,9,16,4,6,81.768925,93.333333,6.5,0.0,6.5,70.25,3.0,67.25,50.0,1.0,49.0
PPR11,POST,0,0,9,16,2,2,91.153846,100.0,,,,31.75,3.0,28.75,47.0,1.0,46.0
PPR12,PRE,0,0,8,8,5,7,84.93266,95.833333,,,,51.714286,3.0,48.714286,37.25,1.0,36.25
PPR12,POST,4,5,9,15,5,7,75.580357,95.0,9.0,0.0,9.0,41.875,3.0,38.875,33.0,1.0,32.0
PPR13,PRE,2,2,8,14,,,74.820021,,15.0,0.0,15.0,71.142857,3.0,68.142857,,,
PPR13,POST,2,2,8,14,2,2,55.881737,100.0,8.0,0.0,8.0,54.142857,3.0,51.142857,39.0,1.0,38.0
PPR14,PRE,2,2,9,16,4,5,91.517857,100.0,11.0,0.0,11.0,27.125,3.0,24.125,31.333333,1.0,30.333333
PPR14,POST,2,1,9,16,4,6,87.430556,73.214286,4.0,0.0,4.0,21.125,3.0,18.125,35.0,1.0,34.0
PPR15,PRE,3,2,9,16,5,7,91.865079,90.833333,9.0,0.0,9.0,36.75,3.0,33.75,42.0,1.0,41.0
PPR15,POST,4,5,9,15,0,0,79.038947,,3.0,0.0,3.0,30.25,3.0,27.25,,,
PPR16,PRE,0,0,9,16,3,4,91.25,91.666666,,,,30.875,3.0,27.875,39.0,1.0,38.0
PPR16,POST,2,2,9,16,5,5,90.476191,83.333333,3.0,0.0,3.0,24.375,3.0,21.375,36.75,1.0,35.75
PPR17,PRE,2,2,9,16,3,2,100.0,100.0,15.0,0.0,15.0,32.375,3.0,29.375,27.0,1.0,26.0
PPR17,POST,4,6,9,16,4,6,93.333333,94.444444,6.0,0.0,6.0,19.875,3.0,16.875,25.666667,1.0,24.666667
PPR20,PRE,4,5,9,16,3,3,60.742244,75.0,7.666667,0.0,7.666667,80.375,3.0,77.375,40.0,1.0,39.0
PPR20,POST,3,4,9,16,5,7,94.642857,100.0,3.0,0.0,3.0,19.125,3.0,16.125,22.75,1.0,21.75
PPR21,PRE,0,0,9,16,2,2,87.403846,80.0,,,,114.125,3.0,111.125,92.0,1.0,91.0
PPR21,POST,2,2,9,16,5,8,90.0,100.0,12.0,0.0,12.0,71.875,3.0,68.875,42.5,1.0,41.5
PPR22,PRE,3,4,9,16,3,3,94.230769,85.714286,7.0,0.0,7.0,25.25,3.0,22.25,45.0,1.0,44.0
PPR22,POST,3,3,9,16,3,4,94.602273,91.666666,10.5,0.0,10.5,15.625,3.0,12.625,19.5,1.0,18.5
PPR23,PRE,2,2,9,16,5,8,100.0,,6.0,0.0,6.0,19.875,3.0,16.875,22.5,1.0,21.5
PPR23,POST,2,2,9,16,4,6,90.396825,90.47619,4.0,0.0,4.0,20.0,3.0,17.0,24.0,1.0,23.0
PPR24,PRE,3,4,9,16,5,7,85.625,90.833333,22.0,0.0,22.0,45.75,3.0,42.75,50.5,1.0,49.5
PPR24,POST,3,4,9,16,4,6,96.153846,100.0,6.5,0.0,6.5,19.0,3.0,16.0,24.0,1.0,23.0
PPR25,PRE,0,0,9,16,4,6,84.348291,100.0,,,,55.875,3.0,52.875,43.333333,1.0,42.333333
