participant_id,occasion,score_field,database_column,source,original_value,output_value
SPR8,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,73.08,78.333333
SPR8,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,78.26,80.119047
SPR11,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,91.04,93.560606
SPR11,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,92.222222
SPR11,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90,91.666666
SPR11,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,87.5,88.888889
SPR12,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,93.85,95.833333
SPR12,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.916667
SPR12,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,85.714286
SPR12,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,86.67,87.777778
SPR13,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,79.75,88.253968
SPR13,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
SPR13,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,87.5,90.47619
SPR13,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,92,92.666667
SPR14,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,96.77,96.875
SPR14,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
SPR14,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
SPR14,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,69.23,71.25
SPR15,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,91.04,92.708333
SPR15,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,94.070513
SPR15,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,85.71,88.899196
SPR15,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
SPR16,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,91.04,93.560606
SPR16,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
SPR16,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
SPR16,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,92.86,93.333333
SPR17,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,69.23,72.142857
SPR17,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,79.22,83.75
SPR17,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,71.21,77.725955
SPR17,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,76.47,76.666667
SPR18,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,87.23,83.75
SPR18,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
SPR18,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,75,75
SPR18,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
SPR19,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,85.92,86.319445
SPR19,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,88.41,92.142857
SPR19,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
SPR19,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,89.66,92.857143
SPR20,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,81.33,86.190476
SPR20,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
SPR20,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,85.714286
SPR20,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,75,75.0
