ID,group,sex,age,class,section,hand,semestre,"eta_2 (gruppo 1 5 e 6 anni del primo semestre, gruppo 2 6 anni e 7 anni primo semestre e gruppo 3 7 anni secondo semestre ",NOTE,CBT_F_SPAN_PRE,CBT_B_SPAN_PRE,TOL_TP_PRE,TOL_TE_PRE,TOL_TR_PRE,TOL_ACC_PRE,TOL_VIO_REG_PRE,Raven_ACC_PRE,RAVEN_T_PRE,WM_SPAN_PRE,WM_TRIAL_PRE,WM_ACC_PRE,PLANNING_TP_PRE,PLANNING_TE_PRE,PLANNING_TR_PRE,PLANNING_SPAN_PRE,PLANNING_TRIAL_PRE,PLANNING_ACC_PRE,PLANNING_OST_PRE,PLANNING_MATT_PRE,PLANNING_MATTI_MIN_PRE,PLANNING_PERC_PRE,PWM_TP_PRE,PWM_TE_PRE,PWM_TR_PRE,PWM_TRIAL_PRE,PWM_ACC_PRE,PWM_OST_PRE,PWM_MATT_PRE,PWM_ MATT_MIN_PRE,PWM_PERC_PRE,ABAS_comm_use,ABAS_comm_use_supp,ABAS_fun_acc,ABAS_fun_acc_suppongo,ABAS_school_liv,ABAS_school_liv_suppongo,ABAS_Health_saf_sic,ABAS_Health_saf_suppongo,ABAS_Leisure,ABAS_Leisure_suppongo,ABAS_Selfcare,ABAS_Selfcare_suppongo,ABAS_Selfdirection,ABAS_Selfdirection_suppongo,ABAS_soc,ABAS_soc_suppongo,BRIEF_Inhibit,BRIEF_SelfMonitor,BRIEF_BRI,BRIEF_shift,BRIEF_Em_Con,BRIEF_ERI,BRIEF_Initiate,BRIEF_wm,BRIEF_plann,BRIEF_TaskMonitor,BRIEF_OrganizMaterial,BRIEF_CRI,CBT_F_SPAN_POST,CBT_B_SPAN_POST,TOL_TP_POST,TOL_TE_POST,TOL_TR_POST,TOL_ACC_POST,TOL_VIO_REG_POST,Raven_ACC_POST,RAVEN_T_POST,WM_SPAN_POST,WM_TRIAL_POST,WM_ACC_POST,PLANNING_TP_POST,PLANNING_TE_POST,PLANNING_TOT_POST,PLANNING_span_POST,PLANNING_trial_POST,PLANNING_ACC_POST,PLANNING_OST_POST,PLANNING_MATT_POST,PLANNING_MATTI_MIN_POST,PLANNING_PERC_POST,PWM_TP_POST,PWM_TE_POST,PWM_T_POST,PWM_TRIAL_POST,PWM_ACC_POST,PWM_OST_POST,PWM_MATT_POST,PWM_MATT_MIN_POST,PWM_PERC_POST,PLANNING_EFF_PRE,PLANNING_EFF_POST,PWM_EFF_PRE,PWM_EFF_POST
GC10,1,M,5,0,gc,D,1,1,,3,0,38,69,107,10,8,13,325,1,2,0,71,311,382,8,12,13,4,67,63,"94,03",33,86,119,6,8,2,36,36,100,12,1,4,,22,,23,1,20,,35,,29,,30,,12,9,21,9,9,18,9,14,3,3,4,33,3,0,83,138,221,24,4,16,360,1,2,0,71,311,382,8,12,13,4,67,63,"94,03",12,68,80,5,3,3,19,19,100,4,4,0,0
GC11,1,F,5,0,gc,D,1,1,,3,0,81,107,188,22,5,11,330,2,4,1,65,311,376,8,11,14,3,77,63,"81,82",10,88,98,5,6,2,28,28,100,12,,3,,18,,18,,27,,35,,31,,43,,14,8,22,12,9,21,10,16,11,8,4,49,0,0,94,146,240,27,2,20,313,2,3,2,39,167,206,8,8,16,0,65,61,"93,85",10,72,82,7,7,3,36,34,"94,44",14,4,0,2
SPR1,2,M,7,2,spb,D,1,2,,4,4,90,115,205,25,4,28,370,4,6,3,55,152,207,8,9,15,1,80,60,75,0,0,0,2,0,2,0,0,"81,82",26,,53,,37,,28,,33,,39,,41,,33,,18,12,30,13,13,26,7,12,14,11,8,52,5,3,120,119,239,25,1,31,370,3,5,3,58,247,305,8,9,15,1,105,61,"58,1",34680,-34619,61,4,4,2,24,18,75,20,44,0,6
SPR2,2,F,7,2,spb,D,1,2,,4,5,52,99,151,29,4,25,300,5,8,6,27,132,159,8,8,16,0,77,61,"79,22",35,31,66,8,6,4,40,38,95,45,,58,,58,,48,,51,,57,,63,,60,,8,5,13,8,8,16,4,8,8,6,5,31,5,0,50,102,152,28,0,29,325,3,4,4,30,119,149,8,8,16,0,63,61,"96,83",3,31,34,4,4,2,20,18,90,16,2,2,2
SPR3,2,F,7,2,spb,D,1,2,,3,3,17,86,103,28,1,26,483,,,,,,,,,,,,,,,,,,,,,,,45,,58,,58,,48,,51,,57,,63,,60,,8,5,13,8,8,16,4,8,8,6,5,31,4,3,51,86,137,24,0,29,327,4,5,4,24,123,147,8,8,16,0,69,61,"88,41",25,18,43,4,4,2,24,18,75,0,8,0,6
SPR4,2,F,7,2,spb,D,1,2,,4,5,71,119,190,25,4,32,360,3,4,4,61,207,268,8,8,16,0,81,61,"75,31",24,102,126,8,9,3,53,47,"88,68",45,,58,,56,,47,,50,,57,,63,,60,,8,5,13,8,8,16,4,8,8,6,5,31,5,4,48,89,137,28,0,31,245,4,5,2,29,105,134,8,9,15,1,63,61,"96,83",73,140,213,11,12,4,92,64,"69,57",20,2,6,28
SPR5,2,M,7,2,spb,D,1,2,,3,3,38,107,145,26,1,30,580,7,7,7,40,40,40,8,8,8,8,8,8,"96,83",28,28,28,7,7,7,7,7,7,43,,47,,54,,43,,45,,51,,54,,49,,12,7,19,11,8,19,5,11,13,10,6,45,4,3,65,112,177,32,0,27,420,2,3,2,40,152,192,8,8,16,0,63,61,"96,83",14,70,84,7,7,3,40,36,90,0,2,0,4
SPR6,2,M,7,2,spb,D,1,2,,5,3,95,111,206,30,2,27,384,3,4,2,40,126,166,8,8,16,0,63,61,"96,83",39,47,86,6,8,2,40,36,90,40,,47,,54,,43,,45,,51,,54,,49,,12,7,19,11,8,19,5,11,13,10,6,45,4,0,74,117,191,34,0,30,378,5,7,1,69,147,216,8,8,16,0,63,61,"96,83",0,0,0,2,0,2,0,0,"69,23",2,2,4,0
SPR7,2,M,7,2,spb,D,1,2,,3,4,40,158,198,29,0,26,421,3,3,3,34,34,34,8,8,8,8,8,8,8,30,30,30,6,6,6,6,6,6,43,,47,,54,,43,,45,,51,,54,,49,,12,7,19,11,8,19,5,11,13,10,6,45,4,5,60,110,170,25,0,28,292,3,4,4,34,105,139,8,8,16,0,61,61,100,23,69,92,6,8,2,36,36,100,0,0,0,0
SPR8,2,M,7,2,spb,D,1,2,,0,5,73,155,228,19,3,26,470,1,2,0,45,251,296,8,8,16,0,85,61,"71,76",95,96,191,7,7,3,52,38,"73,08",44,,51,,56,,47,,46,,55,,59,,55,,8,6,14,9,8,17,5,8,9,7,6,35,4,3,136,145,281,29,0,27,325,3,6,2,78,237,315,8,8,16,0,73,61,"83,56",25,131,156,7,7,3,46,36,"78,26",24,12,14,10
